timestamp,rpm,speed,coolant_temp,intake_air_temp,throttle,engine_load,maf,map_kpa,ambient_temp,fuel_level,voltage,scenario
8.2,762.3,0,25.8,32.3,2.3,11.7,1.24,30.1,27.4,85.0,13.72,idle
8.4,739.3,0.0,25.5,30.9,2.4,10.8,1.58,31.5,27.5,85.0,13.88,idle
8.6,763.5,0,25.3,30.4,2.1,12.8,1.3,32.0,27.5,85.0,13.67,idle
8.8,728.6,0,25.3,31.1,1.9,10.2,1.3,31.5,27.6,85.0,14.2,idle
9.0,776.0,0,25.7,31.0,2.0,10.8,1.67,31.2,27.6,85.0,14.02,idle
9.2,748.5,0,25.7,32.4,2.2,11.4,1.62,31.2,27.6,85.0,14.17,idle
9.4,733.9,0,25.7,31.2,1.6,11.5,1.51,33.3,27.5,85.0,14.17,idle
9.6,762.6,0.2,25.7,31.4,2.3,11.4,1.69,34.1,27.6,85.0,13.91,idle
9.8,739.0,0.2,25.5,30.8,2.4,12.5,1.81,31.1,27.6,85.0,13.91,idle
10.0,769.2,0.2,25.1,32.1,2.2,14.8,1.27,30.3,27.5,85.0,14.13,idle
10.2,757.0,0.1,25.4,31.6,2.5,13.1,1.64,31.7,27.6,85.0,14.38,idle
10.4,750.1,0.0,25.6,31.1,1.7,13.6,0.99,33.0,27.6,85.0,13.8,idle
10.6,729.1,0,25.6,31.2,2.3,14.5,1.42,30.1,27.5,85.0,13.46,idle
10.8,770.2,0,25.7,31.3,2.5,10.3,2.27,31.9,27.4,85.0,14.04,idle
11.0,744.7,0,24.9,31.9,1.8,12.2,1.42,33.2,27.4,85.0,14.25,idle
11.2,737.3,0,25.9,30.8,2.5,14.6,1.78,32.9,27.4,85.0,13.9,idle
11.4,742.9,0.4,25.4,31.6,2.5,12.7,1.39,33.0,27.5,85.0,14.12,idle
11.6,748.2,0,25.3,31.6,2.8,13.6,1.29,30.2,27.3,85.0,13.74,idle
11.8,749.9,0,25.8,31.4,2.8,12.6,1.49,33.1,27.5,85.0,13.93,idle
12.0,730.9,0.4,25.9,31.4,19.9,17.6,1.44,43.9,27.4,85.0,13.84,accel
12.2,725.4,0.5,26.3,33.1,38.6,31.4,1.58,58.2,27.4,85.0,13.63,accel
12.4,758.5,0,25.4,32.6,46.6,36.6,1.27,62.2,27.6,85.0,13.73,accel
12.6,790.1,0.3,25.6,33.1,46.2,36.1,1.24,63.1,27.6,85.0,14.51,accel
12.8,750.0,0.9,25.7,33.3,47.3,35.5,2.04,63.7,27.3,85.0,14.19,accel
13.0,746.7,0.0,26.0,33.4,47.7,37.6,1.55,61.8,27.6,85.0,14.11,accel
13.2,749.3,0,25.5,32.8,53.3,41.4,1.56,67.6,27.6,85.0,14.21,accel
13.4,750.7,0.6,25.7,33.2,54.1,40.7,1.53,67.5,27.6,85.0,14.04,accel
13.6,747.4,0,25.5,33.3,50.3,40.8,1.56,66.2,27.6,85.0,14.18,accel
13.8,771.3,1.3,26.4,32.9,50.0,38.0,1.37,66.5,27.3,85.0,13.92,accel
14.0,735.1,0,25.6,33.6,48.0,37.0,1.57,65.1,27.6,85.0,13.96,accel
14.2,755.9,0.3,25.8,32.7,45.8,36.4,1.59,64.6,27.4,85.0,13.88,accel
14.4,771.4,0,26.2,33.6,56.6,41.5,1.64,68.7,27.7,85.0,13.7,accel
14.6,744.3,0.4,25.9,32.9,52.4,40.8,1.7,68.8,27.5,85.0,13.72,accel
14.8,742.3,0.3,25.8,33.5,62.7,47.2,1.86,76.3,27.7,85.0,14.21,accel
15.0,744.7,0.5,26.3,34.3,61.9,48.3,1.75,73.7,27.5,85.0,14.28,accel
15.2,768.1,0,26.4,33.7,58.7,45.4,1.38,71.4,27.6,85.0,14.01,accel
15.4,782.5,0.1,26.0,33.8,60.3,46.0,1.57,73.8,27.4,85.0,14.12,accel
15.6,766.1,0,25.6,33.3,59.1,44.7,1.29,72.3,27.5,85.0,14.08,accel
15.8,778.2,0,25.8,33.7,54.0,38.1,1.63,67.4,27.4,85.0,14.05,accel
16.0,759.8,0.3,25.9,33.6,58.7,47.4,1.18,69.6,27.5,85.0,14.05,accel
16.2,771.7,0.3,26.3,33.4,51.3,40.7,1.6,66.1,27.5,85.0,14.13,accel
16.4,748.7,1.1,25.7,33.6,56.6,41.9,2.04,69.4,27.4,85.0,13.86,accel
16.6,721.7,0.2,26.4,33.6,53.5,37.3,1.02,68.2,27.5,85.0,13.81,accel
16.8,772.6,0.9,25.6,33.0,48.3,37.1,1.51,64.2,27.5,85.0,13.86,accel
17.0,759.6,0.1,26.2,33.4,60.6,46.6,1.92,73.2,27.6,85.0,14.14,accel
17.2,765.7,0.2,26.0,34.6,60.7,48.1,1.56,74.7,27.4,85.0,14.04,accel
17.4,756.4,0.7,26.8,33.7,56.5,42.1,1.49,71.7,27.5,85.0,14.01,accel
17.6,746.1,0,26.7,32.6,50.8,39.6,1.69,65.1,27.6,85.0,13.71,accel
17.8,743.1,1.0,26.5,32.9,61.4,46.1,1.45,73.6,27.4,85.0,14.3,accel
18.0,757.4,0.7,26.7,33.9,60.3,44.6,1.3,72.0,27.2,85.0,13.93,accel
18.2,723.9,0.4,26.2,34.0,63.3,46.0,1.11,75.4,27.5,85.0,13.99,accel
18.4,764.9,0.3,26.6,33.1,52.9,38.2,1.37,68.6,27.7,85.0,13.93,accel
18.6,756.5,1.1,26.3,33.4,55.8,42.9,1.42,68.9,27.6,85.0,14.15,accel
18.8,751.2,0,25.5,34.5,55.4,43.4,1.6,69.5,27.4,85.0,13.97,accel
19.0,734.2,0.3,26.7,33.8,58.1,46.9,1.44,70.8,27.7,85.0,14.03,accel
19.2,753.0,1.2,26.1,34.3,56.3,44.5,1.86,70.0,27.4,85.0,13.77,accel
19.4,754.9,0.8,26.4,33.9,55.0,42.8,1.98,69.2,27.5,85.0,14.24,accel
19.6,745.5,1.4,26.5,33.0,59.1,44.2,1.54,70.8,27.4,85.0,13.71,accel
19.8,717.7,0.4,26.3,34.4,51.9,37.9,1.99,67.4,27.2,85.0,14.2,accel
20.0,729.2,4.6,26.7,33.4,49.4,39.4,2.23,65.8,27.5,85.0,14.17,cruise
20.2,749.1,9.3,26.2,32.4,45.3,34.5,0.99,61.3,27.6,85.0,14.04,cruise
20.4,767.7,13.9,26.2,32.8,40.3,30.5,1.43,58.9,27.5,85.0,13.73,cruise
20.6,868.0,16.9,26.6,32.4,37.4,30.9,1.57,57.5,27.5,85.0,14.02,cruise
20.8,866.8,19.8,26.3,32.2,35.9,27.1,2.02,54.0,27.6,85.0,14.18,cruise
21.0,918.3,22.5,26.8,32.7,34.0,31.2,1.14,54.2,27.5,85.0,13.96,cruise
21.2,981.5,26.6,27.4,32.0,33.2,26.5,1.09,53.0,27.4,85.0,14.33,cruise
21.4,1056.5,27.7,26.4,31.8,31.7,26.8,1.33,51.5,27.5,85.0,14.01,cruise
21.6,1111.0,30.4,26.3,33.1,29.2,22.7,1.61,52.1,27.5,85.0,14.08,cruise
21.8,1187.2,32.1,26.6,31.8,29.5,24.5,1.55,49.3,27.6,85.0,13.85,cruise
22.0,1184.0,33.4,26.8,32.4,28.6,27.4,1.54,52.7,27.5,85.0,13.94,cruise
22.2,1236.1,34.8,26.3,31.2,28.7,23.2,0.95,50.4,27.5,85.0,14.08,cruise
22.4,1249.6,36.5,26.8,31.9,27.3,26.3,1.41,49.8,27.4,85.0,14.2,cruise
22.6,1265.4,37.9,26.7,32.6,26.6,24.4,1.83,49.4,27.5,85.0,14.28,cruise
22.8,1296.2,38.8,26.9,32.1,24.4,22.2,1.44,47.5,27.3,85.0,14.1,cruise
23.0,1345.0,39.4,26.7,32.8,23.1,23.4,1.96,48.0,27.4,85.0,14.03,cruise
23.2,1377.2,41.1,27.1,32.5,22.1,22.7,1.5,47.0,27.6,85.0,13.7,cruise
23.4,1416.0,41.3,26.6,30.7,21.8,19.0,1.66,46.5,27.3,85.0,13.89,cruise
23.6,1455.3,42.9,26.7,32.0,21.9,22.3,1.21,47.2,27.4,85.0,13.81,cruise
23.8,1516.8,42.6,26.6,32.6,22.3,19.7,1.94,45.6,27.6,85.0,13.88,cruise
24.0,1558.1,43.7,27.3,32.0,21.3,23.0,1.59,46.7,27.4,85.0,13.85,cruise
24.2,1561.5,44.4,27.2,31.8,22.7,23.3,1.1,45.5,27.6,85.0,13.79,cruise
24.4,1606.7,44.7,26.7,32.7,22.3,20.8,1.95,45.9,27.7,85.0,14.11,cruise
24.6,1636.6,45.6,27.0,32.6,20.6,22.5,1.96,45.8,27.4,85.0,13.93,cruise
24.8,1683.1,45.4,27.1,32.4,19.1,20.7,1.42,44.4,27.5,85.0,13.88,cruise
25.0,1704.3,46.6,26.9,31.3,19.2,22.4,1.7,45.5,27.4,85.0,14.08,cruise
25.2,1725.2,46.7,27.7,32.3,20.3,22.4,2.01,45.0,27.5,85.0,13.65,cruise
25.4,1741.7,46.9,26.7,32.4,20.9,20.7,1.44,44.5,27.4,85.0,14.33,cruise
25.6,1773.0,47.0,27.1,32.0,20.2,22.2,1.5,44.3,27.4,85.0,14.08,cruise
25.8,1771.4,48.4,26.5,31.2,20.8,21.9,1.57,46.0,27.4,85.0,13.69,cruise
26.0,1789.0,47.9,27.3,32.6,22.0,25.8,2.1,48.1,27.4,85.0,14.12,cruise
26.2,1816.6,47.9,27.0,32.8,19.8,21.6,1.71,45.7,27.4,85.0,13.77,cruise
26.4,1833.2,48.1,27.5,32.6,18.0,23.4,1.69,42.5,27.4,85.0,14.12,cruise
26.6,1867.4,49.3,27.0,31.1,18.2,23.6,1.35,42.5,27.4,85.0,14.06,cruise
26.8,1874.2,48.2,27.5,32.8,17.2,19.0,0.64,43.0,27.5,85.0,13.91,cruise
27.0,1885.3,49.0,26.7,31.5,17.4,22.6,1.47,42.8,27.6,85.0,13.95,cruise
27.2,1916.4,48.6,27.3,32.3,17.4,20.9,1.28,40.6,27.5,85.0,13.94,cruise
27.4,1898.3,49.3,27.2,31.9,17.2,18.7,1.59,41.3,27.4,85.0,13.68,cruise
27.6,1920.5,49.6,27.3,32.0,16.8,19.3,1.52,43.3,27.5,85.0,13.93,cruise
27.8,1884.1,49.3,27.3,33.0,16.8,22.1,0.79,41.8,27.5,85.0,14.0,cruise
28.0,1927.8,48.8,27.6,32.2,18.6,21.3,1.21,44.1,27.3,85.0,13.95,cruise
28.2,1945.2,49.2,27.0,32.6,18.8,27.2,1.59,43.6,27.6,85.0,14.02,cruise
28.4,1982.6,49.9,27.4,32.3,18.1,21.2,1.88,43.8,27.6,85.0,13.83,cruise
28.6,1955.9,48.9,27.1,32.7,18.2,22.3,2.12,42.5,27.4,85.0,13.98,cruise
28.8,1966.0,49.9,27.2,32.1,18.6,23.8,2.28,44.5,27.5,85.0,13.93,cruise
29.0,1994.9,49.0,26.5,31.7,18.5,23.8,1.9,43.8,27.4,85.0,14.26,cruise
29.2,1993.5,49.8,26.9,32.8,18.4,21.4,1.39,43.2,27.6,85.0,13.94,cruise
29.4,1979.7,49.8,26.8,32.6,18.9,22.3,1.23,44.5,27.5,85.0,13.91,cruise
29.6,1999.8,49.4,27.8,31.5,18.5,23.3,1.1,43.9,27.5,85.0,13.86,cruise
29.8,2002.8,50.0,27.4,33.0,18.2,23.8,1.62,43.7,27.6,85.0,13.97,cruise
30.0,1967.0,50.1,27.3,32.4,18.4,21.2,1.47,44.1,27.5,85.0,13.91,cruise
30.2,2012.5,49.3,27.3,33.0,18.6,24.0,1.34,44.9,27.5,85.0,13.96,cruise
30.4,2018.7,48.9,27.8,32.0,18.2,20.4,1.18,44.7,27.6,85.0,13.97,cruise
30.6,2013.4,50.3,26.5,32.3,17.0,22.3,1.56,44.2,27.5,85.0,13.87,cruise
30.8,2010.6,50.3,27.5,32.1,18.7,24.9,1.89,45.8,27.4,85.0,13.68,cruise
31.0,2012.6,49.9,27.1,32.2,19.6,24.2,1.51,46.7,27.4,85.0,13.85,cruise
31.2,2011.2,49.5,27.5,32.1,19.0,20.5,1.48,42.8,27.4,85.0,13.71,cruise
31.4,2039.9,48.9,27.4,31.7,18.6,22.7,1.45,44.8,27.6,85.0,13.94,cruise
31.6,2050.3,49.8,26.9,32.2,18.0,21.2,1.05,42.1,27.6,85.0,14.1,cruise
31.8,2025.7,50.7,26.7,31.7,17.6,23.2,1.42,42.6,27.5,85.0,13.96,cruise
32.0,2021.8,49.6,27.8,32.0,18.3,22.2,1.63,42.5,27.5,85.0,14.0,cruise
32.2,2031.0,49.6,27.4,32.0,18.2,23.0,1.16,44.2,27.4,85.0,13.97,cruise
32.4,2030.4,49.4,27.5,31.7,18.1,24.2,1.24,44.9,27.6,85.0,14.36,cruise
32.6,2019.2,50.6,27.4,32.5,18.5,22.3,1.59,44.5,27.6,85.0,14.16,cruise
32.8,2045.9,50.5,27.4,31.8,17.7,19.9,1.38,42.0,27.6,85.0,14.16,cruise
33.0,2028.3,49.1,27.1,31.7,17.3,20.2,1.79,44.7,27.4,85.0,13.99,cruise
33.2,2025.3,49.9,27.4,32.0,17.9,22.8,1.5,43.1,27.6,85.0,13.93,cruise
33.4,2028.8,50.3,27.4,32.3,18.1,21.8,1.85,44.2,27.4,85.0,13.69,cruise
33.6,2060.0,51.1,27.3,31.6,18.3,23.2,1.65,42.0,27.4,85.0,13.88,cruise
33.8,2045.9,49.4,26.7,31.8,17.3,21.5,2.12,41.8,27.4,85.0,14.22,cruise
34.0,2028.4,49.9,27.7,32.6,17.8,25.8,1.05,43.6,27.4,85.0,14.02,cruise
34.2,2030.8,50.3,27.9,32.0,18.4,21.5,1.61,43.6,27.4,85.0,13.65,cruise
34.4,2027.5,50.7,27.6,32.0,17.7,18.5,2.44,44.3,27.5,85.0,14.06,cruise
34.6,2038.3,49.9,27.7,30.6,18.2,21.9,1.44,44.9,27.5,85.0,14.13,cruise
34.8,2054.2,50.4,27.2,31.7,18.1,20.7,1.62,42.5,27.5,85.0,14.17,cruise
35.0,2045.5,49.7,27.9,32.4,18.8,23.0,1.74,44.7,27.5,85.0,14.07,cruise
35.2,2035.7,49.6,27.5,31.1,17.6,20.7,1.46,42.5,27.4,85.0,14.04,cruise
35.4,2052.5,49.2,27.9,31.9,17.7,21.1,1.27,42.8,27.5,85.0,13.95,cruise
35.6,2039.7,50.1,27.7,32.9,17.3,23.5,1.11,40.0,27.4,85.0,14.25,cruise
35.8,2024.4,50.2,27.8,31.8,17.7,22.9,1.82,46.5,27.4,85.0,13.99,cruise
36.0,2031.4,50.1,27.7,31.9,18.1,20.6,1.84,43.5,27.4,85.0,14.03,cruise
36.2,2034.9,49.3,27.7,32.1,17.4,20.4,1.36,44.1,27.5,85.0,14.17,cruise
36.4,2043.7,49.7,28.0,32.5,17.7,18.1,1.46,44.8,27.5,85.0,14.25,cruise
36.6,2035.1,50.3,27.7,32.3,16.7,23.4,1.46,42.7,27.4,85.0,13.71,cruise
36.8,2032.4,49.9,27.8,32.3,17.1,20.5,1.94,43.1,27.5,85.0,13.77,cruise
37.0,2024.1,49.2,27.5,32.6,18.4,23.2,1.61,42.6,27.4,85.0,13.76,cruise
37.2,2035.4,50.3,27.4,32.4,18.3,21.5,1.45,43.9,27.4,85.0,13.9,cruise
37.4,2037.6,51.2,27.8,32.2,16.7,22.0,1.49,42.2,27.6,85.0,13.76,cruise
37.6,2047.1,50.0,27.6,32.1,17.3,22.8,1.68,43.0,27.3,85.0,14.31,cruise
37.8,2041.4,50.1,27.3,31.6,17.5,22.4,1.43,45.1,27.5,85.0,13.98,cruise
38.0,2041.1,50.1,27.7,32.7,18.9,21.0,1.32,44.1,27.5,85.0,14.11,cruise
38.2,2058.0,50.8,27.7,32.3,19.0,21.2,1.26,43.0,27.5,85.0,14.2,cruise
38.4,2028.4,51.0,27.8,32.0,18.6,20.0,1.56,46.0,27.6,85.0,13.93,cruise
38.6,2064.0,49.3,27.4,32.2,16.3,20.7,1.37,43.3,27.5,85.0,14.4,cruise
38.8,2047.4,50.0,27.8,32.3,16.6,20.3,1.65,44.6,27.5,85.0,13.74,cruise
39.0,2046.5,49.8,28.1,31.8,18.6,22.4,1.12,44.5,27.4,85.0,13.91,cruise
39.2,2072.7,49.9,27.8,31.7,18.6,21.6,1.31,44.5,27.4,85.0,14.26,cruise
39.4,2056.3,49.7,27.5,32.3,16.5,22.3,0.91,43.6,27.4,85.0,14.0,cruise
39.6,2042.8,50.3,27.9,31.6,17.8,24.9,1.03,45.1,27.6,85.0,13.73,cruise
39.8,2064.0,49.3,28.2,31.8,17.9,21.9,1.12,43.8,27.5,85.0,13.48,cruise
40.0,2047.4,50.5,27.4,31.8,9.1,14.2,1.7,38.6,27.5,85.0,13.9,decel
40.2,2033.4,49.4,28.2,30.8,4.8,12.8,1.17,33.2,27.3,85.0,14.13,decel
40.4,2029.3,50.2,28.2,31.2,2.8,10.5,1.36,33.1,27.7,85.0,13.88,decel
40.6,2052.5,49.5,28.1,32.0,0.8,10.8,1.25,32.4,27.6,85.0,14.13,decel
40.8,2020.7,49.2,28.2,31.2,0.9,12.4,2.1,34.5,27.5,85.0,14.11,decel
41.0,2060.0,49.3,28.2,31.0,0,12.7,1.7,31.6,27.5,85.0,13.89,decel
41.2,2041.9,49.3,27.7,31.1,0.4,14.5,1.5,31.8,27.5,85.0,14.14,decel
41.4,2025.9,48.2,28.2,31.3,0,11.5,1.77,31.6,27.6,85.0,14.0,decel
41.6,2029.9,49.1,27.9,30.9,0,11.2,0.85,32.1,27.6,85.0,14.14,decel
41.8,2029.2,49.0,27.9,31.4,0.1,10.0,1.86,31.3,27.4,85.0,13.64,decel
42.0,1995.7,47.8,27.9,30.5,0.4,13.7,1.31,32.5,27.5,85.0,13.78,decel
42.2,2003.8,48.5,28.0,30.7,0.1,12.8,1.84,32.4,27.4,85.0,13.92,decel
42.4,1993.4,48.5,28.0,30.9,0.3,11.9,1.51,30.2,27.3,85.0,14.18,decel
42.6,1989.5,47.4,27.8,30.8,0.0,11.0,1.47,29.5,27.4,85.0,14.04,decel
42.8,2001.7,47.8,27.7,31.7,0,11.6,2.0,32.3,27.6,85.0,14.16,decel
43.0,2017.5,47.4,28.3,31.5,0,10.6,1.81,31.2,27.6,85.0,14.08,decel
43.2,2007.4,47.7,28.3,31.3,0,11.9,1.04,31.5,27.5,85.0,14.22,decel
43.4,1969.8,47.7,28.1,31.7,0,11.7,1.57,30.6,27.7,85.0,13.91,decel
43.6,2001.0,46.9,28.2,31.2,0,13.0,1.35,31.2,27.4,85.0,13.84,decel
43.8,1963.0,47.4,28.0,31.4,0.1,10.9,1.7,32.4,27.5,85.0,14.1,decel
44.0,1981.7,47.5,27.9,31.3,0,10.1,1.76,31.8,27.6,85.0,14.14,decel
44.2,2001.1,46.8,28.1,32.1,0.2,9.9,1.59,31.7,27.4,85.0,13.73,decel
44.4,1986.4,48.0,28.1,31.3,0,10.9,1.34,31.8,27.5,85.0,14.01,decel
44.6,1945.3,46.7,28.1,31.2,0.1,14.2,1.12,31.7,27.5,85.0,14.16,decel
44.8,1965.1,46.6,29.1,31.9,0,11.1,1.17,30.1,27.5,85.0,13.73,decel
45.0,1953.7,46.9,28.3,30.2,0,11.6,1.46,31.2,27.5,85.0,13.95,decel
45.2,1985.2,46.7,28.4,31.6,0,11.5,1.78,31.4,27.5,85.0,14.41,decel
45.4,1921.4,46.7,28.5,31.8,0.0,10.6,1.37,30.6,27.4,85.0,13.75,decel
45.6,1911.3,46.1,27.9,31.0,0.6,11.5,2.23,31.3,27.3,85.0,14.2,decel
45.8,1896.8,47.1,27.5,31.3,0.3,12.6,1.24,31.4,27.4,85.0,14.07,decel
46.0,1905.9,41.9,28.5,31.8,1.2,10.7,1.38,30.8,27.3,85.0,13.95,idle
46.2,1892.2,39.1,28.4,32.2,1.9,10.3,1.94,33.1,27.5,85.0,14.07,idle
46.4,1865.6,33.9,28.3,31.9,2.4,10.0,1.44,31.7,27.5,85.0,13.91,idle
46.6,1758.8,30.6,27.8,31.6,2.3,12.3,1.86,32.2,27.4,85.0,13.87,idle
46.8,1717.3,26.9,28.0,31.2,2.7,13.3,1.88,33.2,27.6,85.0,14.0,idle
47.0,1715.8,25.5,28.4,32.0,2.1,14.2,1.71,33.2,27.6,85.0,14.08,idle
47.2,1678.2,22.7,28.5,32.2,2.6,12.4,1.64,32.7,27.6,85.0,14.21,idle
47.4,1647.3,21.6,28.0,30.9,1.9,11.7,1.25,31.6,27.5,85.0,13.93,idle
47.6,1573.8,19.5,28.6,30.8,2.7,12.8,1.81,31.8,27.5,85.0,14.18,idle
47.8,1512.4,17.3,28.6,30.7,2.5,10.6,1.64,30.8,27.4,85.0,14.11,idle
48.0,1462.8,15.1,27.9,31.4,2.7,10.5,0.91,32.7,27.5,85.0,13.95,idle
48.2,1399.6,14.1,28.6,31.6,2.4,12.5,1.64,30.7,27.5,85.0,13.8,idle
48.4,1402.4,13.3,28.8,31.5,3.0,13.6,1.11,32.8,27.6,85.0,14.22,idle
48.6,1403.4,11.4,28.2,32.1,2.1,12.0,1.39,33.8,27.5,85.0,14.1,idle
48.8,1373.0,10.7,28.3,30.8,2.6,11.1,1.54,33.8,27.5,85.0,14.3,idle
49.0,1348.4,8.9,28.6,30.9,2.3,11.3,1.87,33.9,27.5,85.0,14.4,idle
49.2,1307.8,8.9,28.6,30.1,2.7,12.6,1.64,32.3,27.4,85.0,13.94,idle
49.4,1231.6,8.5,28.5,31.1,2.4,14.4,1.36,32.1,27.4,85.0,14.04,idle
49.6,1189.9,6.5,28.7,31.3,2.6,13.3,1.31,32.5,27.5,85.0,14.09,idle
49.8,1115.5,6.2,28.4,31.2,2.7,9.7,1.35,31.8,27.6,85.0,13.99,idle
50.0,1061.7,5.1,28.1,31.1,2.6,11.3,1.39,31.1,27.4,85.0,14.04,idle
50.2,1024.6,5.1,28.4,31.5,3.1,10.7,1.67,30.1,27.5,85.0,14.04,idle
50.4,1001.1,3.7,28.4,31.3,2.7,11.9,1.25,32.6,27.5,85.0,13.87,idle
50.6,980.3,4.4,28.8,31.3,2.8,12.6,0.92,31.8,27.7,85.0,13.72,idle
50.8,959.3,3.6,28.5,31.2,3.5,9.4,1.22,33.8,27.6,85.0,13.94,idle
51.0,907.3,3.9,28.6,32.1,38.8,29.3,1.94,56.3,27.4,85.0,13.88,accel
51.2,872.5,4.2,28.4,32.6,44.6,33.3,1.57,62.3,27.5,85.0,13.95,accel
51.4,864.3,3.3,28.4,32.6,47.2,37.8,1.62,62.6,27.4,85.0,14.11,accel
51.6,806.3,3.6,28.4,33.5,52.4,41.0,1.23,66.3,27.3,85.0,13.96,accel
51.8,828.6,2.5,28.5,33.4,50.4,38.8,1.34,67.2,27.6,85.0,14.03,accel
52.0,816.4,5.9,28.7,33.4,53.8,38.4,2.02,67.6,27.5,85.0,13.92,accel
52.2,809.4,3.7,28.5,33.2,47.3,35.0,1.36,64.3,27.6,85.0,13.85,accel
52.4,786.7,4.3,28.9,33.6,60.0,45.8,1.89,71.3,27.5,85.0,13.99,accel
52.6,785.5,4.7,28.4,34.0,57.4,45.0,1.76,69.5,27.4,85.0,14.18,accel
52.8,751.8,3.8,28.7,33.6,54.9,43.5,1.36,69.1,27.2,85.0,13.77,accel
53.0,747.2,4.6,28.5,34.3,54.0,42.6,1.64,69.4,27.6,85.0,14.19,accel
53.2,755.3,3.7,28.7,33.3,48.6,37.1,1.18,65.6,27.5,85.0,13.89,accel
53.4,763.5,3.3,29.2,32.4,42.7,36.4,1.77,60.0,27.5,85.0,14.11,accel
53.6,772.8,4.2,28.8,32.9,55.3,39.4,1.21,68.3,27.5,85.0,14.48,accel
